tenure,MonthlyCharges,TotalCharges,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
64,60.05,3845.45,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0
25,84.8,2043.45,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
56,105.6,6068.65,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
8,85.2,627.4,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
2,75.55,166.3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
43,60.0,2548.55,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
56,59.5,3389.25,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
4,74.95,308.7,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
57,79.75,4438.2,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
29,103.95,2964.8,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
5,69.7,316.9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
63,104.75,6536.5,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
46,79.2,3593.8,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
13,44.8,559.2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80.85,0.0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
65,74.8,4820.15,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0
17,86.75,1410.25,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
12,81.45,912.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
8,29.25,226.95,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
41,51.35,2075.1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0
61,99.4,5943.65,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
23,84.4,1936.85,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
9,65.0,663.05,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
60,104.35,6339.45,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0
60,70.15,4224.7,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0
50,114.35,5791.1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
6,45.65,323.45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,92.0,6585.2,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
5,46.0,221.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,65.5,573.15,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
15,105.1,1582.75,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0
43,85.1,3662.25,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0
18,60.6,1156.35,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
15,75.65,1146.65,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
13,79.8,973.45,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
55,69.05,3842.6,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
22,56.25,1292.2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
10,84.7,832.05,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
61,69.9,4226.7,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
9,85.5,791.7,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
5,34.25,163.55,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
31,49.85,1520.1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0
54,70.7,3770.0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
29,85.8,2440.25,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
11,25.2,321.05,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,92.0,6782.15,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
68,90.2,6297.65,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0
67,79.7,5293.4,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0
4,49.25,208.45,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,81.45,4983.05,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
1,75.35,75.35,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
27,78.2,2078.95,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
72,89.8,6510.45,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
30,89.9,2723.15,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
26,50.35,1285.8,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
51,87.55,4475.9,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
9,69.05,653.95,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
70,114.2,7723.9,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
71,85.75,6223.8,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
2,80.25,144.55,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
13,100.75,1313.25,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0
1,25.8,25.8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,79.3,2427.1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
68,107.15,7379.8,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0
10,80.25,846.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,74.1,74.1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
65,69.55,4459.15,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1
3,80.7,239.45,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,45.3,45.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,70.85,4738.85,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0
11,95.0,1120.3,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
21,103.9,2254.2,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0
48,60.6,2985.25,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
19,78.25,1490.95,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
53,91.15,4862.5,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0
6,83.9,497.55,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4,74.65,301.4,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
7,73.85,511.25,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
29,94.65,2649.15,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
5,65.6,339.9,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
59,89.75,5496.9,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
27,36.5,1032.0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,88.0,6161.9,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0
2,70.65,142.35,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
23,75.0,1778.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
13,74.4,896.75,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
35,89.65,3161.6,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
50,71.05,3444.85,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
5,85.4,401.1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0
21,96.8,2030.3,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
63,40.6,2588.95,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
13,73.35,931.55,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
72,112.1,7965.95,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
29,58.0,1734.5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
30,99.7,2967.35,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
33,80.6,2656.5,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
64,86.8,5327.25,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
35,100.25,3527.6,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
1,30.5,30.5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,71.1,71.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,81.0,1923.85,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
50,39.7,1932.75,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0
2,79.45,145.15,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
42,99.0,4298.45,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
58,60.3,3563.8,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0
13,66.4,831.75,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
5,28.45,131.05,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
47,40.3,1794.8,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
36,90.85,3186.7,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0
13,45.3,528.45,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
7,74.65,521.1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0
49,98.7,4920.55,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0
6,73.85,401.3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
70,104.0,7250.15,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0
42,84.3,3588.4,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
49,35.8,1782.0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
21,86.5,1808.7,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
38,74.05,2802.3,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
54,99.05,5295.7,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0
9,85.3,781.4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
2,62.15,113.1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1,76.35,76.35,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
14,75.35,1025.95,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5,70.25,331.9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2,54.15,101.65,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
48,108.1,5067.45,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
18,94.7,1687.95,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
71,95.15,6770.85,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0
4,74.8,321.9,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
23,90.15,2044.95,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
72,88.05,6425.65,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
53,94.25,4867.95,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
11,99.55,1131.2,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
72,115.5,8312.75,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
4,99.8,442.85,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0
61,104.0,6363.45,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0
66,105.65,6844.5,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0
66,68.75,4447.55,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
19,50.1,910.45,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,76.05,231.8,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
56,109.6,5953.0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1
52,109.3,5731.4,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0
71,118.65,8477.6,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
39,48.95,1880.85,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0
43,108.15,4600.7,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0
13,52.1,670.65,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
4,80.3,324.2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
35,75.2,2576.2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
